timestamp,temperature,pressure,humidity,voltage,sensor_id,status
2024-01-01 00:00:00,20.0,1000.04,37.61,3.4296,SENS_003,OK
2024-01-01 00:01:00,19.75,,57.08,3.3434,SENS_004,OK
2024-01-01 00:02:00,20.08,1020.53,58.51,3.3996,SENS_001,OK
2024-01-01 00:03:00,20.64,1006.85,69.42,3.4723,SENS_003,OK
2024-01-01 00:04:00,20.42,1004.75,51.65,3.3579,SENS_003,OK
2024-01-01 00:05:00,20.88,1015.26,40.85,3.2148,SENS_004,OK
2024-01-01 00:06:00,20.91,1024.18,57.35,3.2853,SENS_001,OK
2024-01-01 00:07:00,20.82,1001.31,69.18,3.2925,SENS_001,OK
2024-01-01 00:08:00,20.69,1011.5,37.09,3.3515,SENS_003,OK
2024-01-01 00:09:00,21.06,995.68,43.04,3.3388,SENS_002,OK
2024-01-01 00:10:00,21.19,1009.07,51.68,3.505,SENS_003,OK
2024-01-01 00:11:00,22.28,1013.34,36.81,3.2538,SENS_003,OK
2024-01-01 00:12:00,21.7,1004.45,30.89,3.3385,SENS_003,OK
2024-01-01 00:13:00,21.87,1008.43,43.48,3.5355,SENS_003,OK
2024-01-01 00:14:00,21.51,998.92,64.61,3.2415,SENS_004,OK
2024-01-01 00:15:00,21.01,1013.77,31.74,3.3145,SENS_001,OK
2024-01-01 00:16:00,20.99,1023.56,47.16,3.2055,SENS_004,OK
2024-01-01 00:17:00,21.06,1002.03,60.49,3.3082,SENS_004,WARN
2024-01-01 00:18:00,22.51,1006.77,68.13,3.222,SENS_004,OK
2024-01-01 00:19:00,22.27,1018.03,69.42,3.4047,SENS_003,OK
2024-01-01 00:20:00,21.58,1025.12,46.88,3.3147,SENS_002,OK
2024-01-01 00:21:00,21.67,998.07,68.02,3.2065,SENS_001,WARN
2024-01-01 00:22:00,20.58,1011.31,31.42,3.3841,SENS_002,WARN
2024-01-01 00:23:00,20.6,1015.83,59.84,3.318,SENS_004,OK
2024-01-01 00:24:00,20.66,1011.98,55.71,3.3953,SENS_004,OK
2024-01-01 00:25:00,21.12,988.23,39.98,3.1852,SENS_002,WARN
2024-01-01 00:26:00,21.62,1018.01,50.29,3.3369,SENS_002,OK
2024-01-01 00:27:00,21.34,1028.19,35.18,3.3773,SENS_002,OK
2024-01-01 00:28:00,21.27,1014.17,64.86,3.2577,SENS_004,OK
2024-01-01 00:29:00,,1002.69,44.32,3.1741,SENS_004,OK
2024-01-01 00:30:00,20.39,1007.87,55.04,3.2958,SENS_001,OK
2024-01-01 00:31:00,20.65,,36.35,3.4228,SENS_001,WARN
2024-01-01 00:32:00,20.1,1022.1,38.25,3.4126,SENS_004,WARN
2024-01-01 00:33:00,20.03,1019.4,69.68,3.2572,SENS_002,OK
2024-01-01 00:34:00,19.69,1016.56,60.12,3.1717,SENS_002,OK
2024-01-01 00:35:00,20.16,1006.39,68.48,3.2569,SENS_001,OK
2024-01-01 00:36:00,21.21,1010.99,41.83,3.2532,SENS_004,OK
2024-01-01 00:37:00,20.6,1012.22,36.58,3.3446,SENS_001,OK
2024-01-01 00:38:00,19.79,1018.5,50.12,3.2895,SENS_001,OK
2024-01-01 00:39:00,19.92,1028.09,49.79,3.2247,SENS_003,OK
2024-01-01 00:40:00,20.12,,37.0,3.4104,SENS_003,OK
